Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Tabatha Ricci,"5' 1""","61.0""",12,3,0,36%,57%,0.0,5.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0
Matt Ricehouse,0,0,6,1,0,44%,47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Rickels,"5' 11""",0,18,4,0,59%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haisam Rida,0,0,0,0,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Riddell,"5' 7""","71.0""",10,4,0,53%,53%,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Luke Riley,"5' 9""","69.0""",12,0,0,60%,46%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Jordan Rinaldi,"5' 10""","72.0""",14,7,0,35%,59%,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Robbie Ring,"5' 9""","68.0""",6,1,0,38%,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Rivas,"5' 8""","69.0""",10,2,0,40%,52%,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Jimmie Rivera,"5' 4""","68.0""",23,5,0,40%,60%,0.0,6.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0
Irwin Rivera,"5' 6""","67.0""",10,6,0,44%,57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jerome Rivera,"5' 10""","72.0""",10,6,0,33%,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Rlayang,"5' 7""","65.0""",5,1,0,48%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Roberson,"6' 1""","74.0""",9,6,0,51%,57%,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
Danny Roberts,"6' 1""","74.0""",18,8,0,39%,50%,0.0,3.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0
Roosevelt Roberts,"6' 2""","73.0""",12,6,0,43%,52%,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
Gillian Robertson,"5' 5""","63.0""",16,8,0,48%,56%,0.0,3.0,3.0,7.0,2.0,7.0,4.0,0.0,0.0
Damonte Robinson,"6' 0""","77.0""",6,1,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Rocha,"5' 3""","64.0""",18,2,0,49%,56%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shem Rock,"5' 11""","73.0""",12,2,1,42%,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregory Rodrigues,"6' 3""","75.0""",19,6,0,51%,50%,0.0,3.0,7.0,0.0,4.0,2.0,4.0,0.0,0.0
Kleydson Rodrigues,"5' 5""","67.0""",8,4,0,57%,53%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
